Index: 203, Label: 0, Filename: udang6_rotated_90_denoised_removal_gray.jpg
Index: 302, Label: 0, Filename: udang6_rotated_230_denoised_removal_gray.jpg
Index: 310, Label: 0, Filename: udang8_rotated_250_denoised_removal_gray.jpg
Index: 183, Label: 0, Filename: udang6_flipped_h_denoised_removal_gray.jpg
Index: 182, Label: 0, Filename: udang9_rotated_120_denoised_removal_gray.jpg
Index: 26, Label: 0, Filename: udang6_rotated_160_denoised_removal_gray.jpg
Index: 326, Label: 0, Filename: udang9_rotated_50_denoised_removal_gray.jpg
Index: 74, Label: 0, Filename: udang9_rotated_0_denoised_removal_gray.jpg
Index: 218, Label: 0, Filename: udang9_flipped_h_denoised_removal_gray.jpg
Index: 283, Label: 0, Filename: udang7_rotated_120_denoised_removal_gray.jpg
Index: 46, Label: 0, Filename: udang7_flipped_h_denoised_removal_gray.jpg
Index: 140, Label: 0, Filename: udang5_rotated_200_denoised_removal_gray.jpg
Index: 288, Label: 0, Filename: udang4_rotated_270_denoised_removal_gray.jpg
Index: 214, Label: 0, Filename: udang8_rotated_200_denoised_removal_gray.jpg
Index: 131, Label: 0, Filename: udang4_rotated_130_denoised_removal_gray.jpg
Index: 29, Label: 0, Filename: udang7_rotated_0_denoised_removal_gray.jpg
Index: 225, Label: 0, Filename: udang8_rotated_50_denoised_removal_gray.jpg
Index: 59, Label: 0, Filename: udang8_rotated_70_denoised_removal_gray.jpg
Index: 252, Label: 0, Filename: udang7_rotated_110_denoised_removal_gray.jpg
Index: 36, Label: 0, Filename: udang5_rotated_250_denoised_removal_gray.jpg
Index: 139, Label: 0, Filename: udang4_rotated_0_denoised_removal_gray.jpg
Index: 208, Label: 0, Filename: udang7_rotated_270_denoised_removal_gray.jpg
Index: 229, Label: 0, Filename: udang5_rotated_0_denoised_removal_gray.jpg
Index: 273, Label: 0, Filename: udang5_original_denoised_removal_gray.jpg
Index: 132, Label: 0, Filename: udang9_rotated_220_denoised_removal_gray.jpg
Index: 16, Label: 0, Filename: udang4_rotated_210_denoised_removal_gray.jpg
Index: 233, Label: 0, Filename: udang7_rotated_230_denoised_removal_gray.jpg
Index: 254, Label: 0, Filename: udang9_rotated_150_denoised_removal_gray.jpg
Index: 31, Label: 0, Filename: udang7_flipped_v_denoised_removal_gray.jpg
Index: 304, Label: 0, Filename: udang5_rotated_20_denoised_removal_gray.jpg
Index: 325, Label: 0, Filename: udang5_rotated_30_denoised_removal_gray.jpg
Index: 315, Label: 0, Filename: udang8_rotated_100_denoised_removal_gray.jpg
Index: 90, Label: 0, Filename: udang5_rotated_220_denoised_removal_gray.jpg
Index: 200, Label: 0, Filename: udang9_rotated_160_denoised_removal_gray.jpg
Index: 95, Label: 0, Filename: udang7_rotated_240_denoised_removal_gray.jpg
Index: 130, Label: 0, Filename: udang6_rotated_70_denoised_removal_gray.jpg
Index: 296, Label: 0, Filename: udang5_rotated_10_denoised_removal_gray.jpg
Index: 55, Label: 0, Filename: udang7_rotated_210_denoised_removal_gray.jpg
Index: 226, Label: 0, Filename: udang7_rotated_220_denoised_removal_gray.jpg
Index: 251, Label: 0, Filename: udang6_rotated_270_denoised_removal_gray.jpg
Index: 281, Label: 0, Filename: udang9_rotated_170_denoised_removal_gray.jpg
Index: 60, Label: 0, Filename: udang8_rotated_260_denoised_removal_gray.jpg
Index: 21, Label: 0, Filename: udang4_rotated_110_denoised_removal_gray.jpg
Index: 87, Label: 0, Filename: udang9_rotated_190_denoised_removal_gray.jpg
Index: 101, Label: 0, Filename: udang9_rotated_180_denoised_removal_gray.jpg
Index: 111, Label: 0, Filename: udang8_rotated_110_denoised_removal_gray.jpg
Index: 170, Label: 0, Filename: udang6_rotated_60_denoised_removal_gray.jpg
Index: 166, Label: 0, Filename: udang9_rotated_90_denoised_removal_gray.jpg
Index: 127, Label: 0, Filename: udang8_rotated_210_denoised_removal_gray.jpg
Index: 77, Label: 0, Filename: udang9_rotated_110_denoised_removal_gray.jpg
Index: 108, Label: 0, Filename: udang6_rotated_240_denoised_removal_gray.jpg
Index: 179, Label: 0, Filename: udang9_rotated_230_denoised_removal_gray.jpg
Index: 284, Label: 0, Filename: udang7_rotated_80_denoised_removal_gray.jpg
Index: 175, Label: 0, Filename: udang9_rotated_260_denoised_removal_gray.jpg
Index: 5, Label: 0, Filename: udang5_rotated_190_denoised_removal_gray.jpg
Index: 202, Label: 0, Filename: udang8_rotated_20_denoised_removal_gray.jpg
Index: 96, Label: 0, Filename: udang8_rotated_150_denoised_removal_gray.jpg
Index: 125, Label: 0, Filename: udang8_rotated_40_denoised_removal_gray.jpg
Index: 119, Label: 0, Filename: udang4_rotated_260_denoised_removal_gray.jpg
Index: 332, Label: 0, Filename: udang9_rotated_210_denoised_removal_gray.jpg
Index: 327, Label: 0, Filename: udang4_rotated_100_denoised_removal_gray.jpg
Index: 50, Label: 0, Filename: udang7_rotated_50_denoised_removal_gray.jpg
Index: 294, Label: 0, Filename: udang6_rotated_20_denoised_removal_gray.jpg
Index: 188, Label: 0, Filename: udang8_rotated_160_denoised_removal_gray.jpg
Index: 213, Label: 0, Filename: udang8_rotated_10_denoised_removal_gray.jpg
Index: 75, Label: 0, Filename: udang7_rotated_150_denoised_removal_gray.jpg
Index: 227, Label: 0, Filename: udang7_rotated_30_denoised_removal_gray.jpg
Index: 44, Label: 0, Filename: udang6_rotated_120_denoised_removal_gray.jpg
Index: 275, Label: 0, Filename: udang6_rotated_170_denoised_removal_gray.jpg
Index: 145, Label: 0, Filename: udang8_rotated_190_denoised_removal_gray.jpg
Index: 322, Label: 0, Filename: udang9_rotated_60_denoised_removal_gray.jpg
Index: 18, Label: 0, Filename: udang7_rotated_200_denoised_removal_gray.jpg
Index: 193, Label: 0, Filename: udang5_rotated_210_denoised_removal_gray.jpg
Index: 272, Label: 0, Filename: udang5_rotated_270_denoised_removal_gray.jpg
Index: 13, Label: 0, Filename: udang6_rotated_130_denoised_removal_gray.jpg
Index: 51, Label: 0, Filename: udang6_rotated_40_denoised_removal_gray.jpg
Index: 174, Label: 0, Filename: udang6_rotated_180_denoised_removal_gray.jpg
Index: 11, Label: 0, Filename: udang9_rotated_130_denoised_removal_gray.jpg
Index: 61, Label: 0, Filename: udang7_rotated_160_denoised_removal_gray.jpg
Index: 151, Label: 0, Filename: udang6_rotated_200_denoised_removal_gray.jpg
Index: 242, Label: 0, Filename: udang8_rotated_0_denoised_removal_gray.jpg
Index: 154, Label: 0, Filename: udang4_rotated_60_denoised_removal_gray.jpg
Index: 270, Label: 0, Filename: udang8_rotated_220_denoised_removal_gray.jpg
Index: 17, Label: 0, Filename: udang7_rotated_170_denoised_removal_gray.jpg
Index: 222, Label: 0, Filename: udang7_rotated_100_denoised_removal_gray.jpg
Index: 245, Label: 0, Filename: udang7_rotated_140_denoised_removal_gray.jpg
Index: 1, Label: 0, Filename: udang8_rotated_60_denoised_removal_gray.jpg
Index: 305, Label: 0, Filename: udang5_rotated_60_denoised_removal_gray.jpg
Index: 262, Label: 0, Filename: udang9_rotated_20_denoised_removal_gray.jpg
Index: 134, Label: 0, Filename: udang4_rotated_120_denoised_removal_gray.jpg
Index: 176, Label: 0, Filename: udang9_rotated_140_denoised_removal_gray.jpg
Index: 124, Label: 0, Filename: udang4_rotated_190_denoised_removal_gray.jpg
Index: 94, Label: 0, Filename: udang9_rotated_250_denoised_removal_gray.jpg
Index: 197, Label: 0, Filename: udang5_flipped_v_denoised_removal_gray.jpg
Index: 53, Label: 0, Filename: udang5_rotated_90_denoised_removal_gray.jpg
Index: 85, Label: 0, Filename: udang7_rotated_250_denoised_removal_gray.jpg
Index: 265, Label: 0, Filename: udang4_rotated_90_denoised_removal_gray.jpg
Index: 267, Label: 0, Filename: udang6_rotated_110_denoised_removal_gray.jpg
Index: 49, Label: 0, Filename: udang8_rotated_180_denoised_removal_gray.jpg
Index: 45, Label: 0, Filename: udang5_rotated_110_denoised_removal_gray.jpg
Index: 255, Label: 0, Filename: udang4_rotated_70_denoised_removal_gray.jpg
Index: 150, Label: 0, Filename: udang8_flipped_h_denoised_removal_gray.jpg
Index: 146, Label: 0, Filename: udang4_rotated_170_denoised_removal_gray.jpg
Index: 153, Label: 0, Filename: udang8_original_denoised_removal_gray.jpg
Index: 83, Label: 0, Filename: udang8_rotated_270_denoised_removal_gray.jpg
Index: 205, Label: 0, Filename: udang4_rotated_10_denoised_removal_gray.jpg
Index: 155, Label: 0, Filename: udang8_rotated_170_denoised_removal_gray.jpg
Index: 141, Label: 0, Filename: udang6_rotated_50_denoised_removal_gray.jpg
Index: 330, Label: 0, Filename: udang6_rotated_250_denoised_removal_gray.jpg
Index: 286, Label: 0, Filename: udang7_rotated_190_denoised_removal_gray.jpg
Index: 97, Label: 0, Filename: udang5_rotated_160_denoised_removal_gray.jpg
Index: 172, Label: 0, Filename: udang7_rotated_260_denoised_removal_gray.jpg
Index: 263, Label: 0, Filename: udang9_rotated_270_denoised_removal_gray.jpg
Index: 320, Label: 0, Filename: udang9_rotated_80_denoised_removal_gray.jpg
Index: 121, Label: 0, Filename: udang4_rotated_200_denoised_removal_gray.jpg
Index: 137, Label: 0, Filename: udang7_rotated_90_denoised_removal_gray.jpg
Index: 64, Label: 0, Filename: udang4_rotated_240_denoised_removal_gray.jpg
Index: 92, Label: 0, Filename: udang8_rotated_80_denoised_removal_gray.jpg
Index: 256, Label: 0, Filename: udang5_rotated_120_denoised_removal_gray.jpg
Index: 271, Label: 0, Filename: udang4_flipped_h_denoised_removal_gray.jpg
Index: 122, Label: 0, Filename: udang4_rotated_160_denoised_removal_gray.jpg
Index: 336, Label: 0, Filename: udang7_rotated_60_denoised_removal_gray.jpg
Index: 232, Label: 0, Filename: udang5_rotated_260_denoised_removal_gray.jpg
Index: 8, Label: 0, Filename: udang8_rotated_240_denoised_removal_gray.jpg
Index: 189, Label: 0, Filename: udang6_rotated_100_denoised_removal_gray.jpg
Index: 106, Label: 0, Filename: udang8_rotated_120_denoised_removal_gray.jpg
Index: 12, Label: 0, Filename: udang8_rotated_90_denoised_removal_gray.jpg
Index: 228, Label: 0, Filename: udang7_rotated_10_denoised_removal_gray.jpg
Index: 307, Label: 0, Filename: udang9_rotated_40_denoised_removal_gray.jpg
Index: 316, Label: 0, Filename: udang6_original_denoised_removal_gray.jpg
Index: 99, Label: 0, Filename: udang5_rotated_150_denoised_removal_gray.jpg
Index: 149, Label: 0, Filename: udang5_rotated_170_denoised_removal_gray.jpg
Index: 65, Label: 0, Filename: udang7_original_denoised_removal_gray.jpg
Index: 14, Label: 0, Filename: udang4_rotated_40_denoised_removal_gray.jpg
Index: 198, Label: 0, Filename: udang5_rotated_130_denoised_removal_gray.jpg
Index: 167, Label: 0, Filename: udang8_rotated_130_denoised_removal_gray.jpg
Index: 152, Label: 0, Filename: udang5_rotated_80_denoised_removal_gray.jpg
Index: 299, Label: 0, Filename: udang5_rotated_180_denoised_removal_gray.jpg
Index: 308, Label: 0, Filename: udang4_rotated_150_denoised_removal_gray.jpg
Index: 161, Label: 0, Filename: udang7_rotated_70_denoised_removal_gray.jpg
Index: 15, Label: 0, Filename: udang4_original_denoised_removal_gray.jpg
Index: 23, Label: 0, Filename: udang7_rotated_130_denoised_removal_gray.jpg
Index: 118, Label: 0, Filename: udang5_flipped_h_denoised_removal_gray.jpg
Index: 292, Label: 0, Filename: udang5_rotated_70_denoised_removal_gray.jpg
Index: 240, Label: 0, Filename: udang9_original_denoised_removal_gray.jpg
Index: 30, Label: 0, Filename: udang6_rotated_210_denoised_removal_gray.jpg
Index: 136, Label: 0, Filename: udang5_rotated_40_denoised_removal_gray.jpg
Index: 298, Label: 0, Filename: udang6_rotated_140_denoised_removal_gray.jpg
Index: 143, Label: 1, Filename: windu5_rotated_10_denoised_removal_gray.jpg
